ca_score_40,attendance_rate_percent,mock_exam_score_100,study_hours_per_week,subject_combination,gender,study_resources,behavioural_pattern,stress_level_1_10,performance_category
32,61,47,37,Commercial,Male,Tutorials,Motivated,4,Good
32,91,55,24,Commercial,Male,Tutorials,Stressed,9,Good
36,65,75,13,Science,Female,Tutorials,Motivated,10,Good
11,63,64,10,Commercial,Female,Mixed,Motivated,9,At Risk
2,69,30,31,Arts,Male,Textbooks,Struggling,4,At Risk
0,62,3,10,Commercial,Female,Tutorials,Motivated,3,At Risk
32,72,49,17,Science,Female,Tutorials,Motivated,2,Average
39,32,68,26,Science,Female,YouTube,Stressed,9,Excellent
9,40,29,17,Arts,Male,Textbooks,Motivated,2,At Risk
28,88,87,22,Science,Female,Mixed,Struggling,6,Excellent
12,47,58,10,Science,Male,YouTube,Struggling,5,At Risk
11,12,66,20,Arts,Male,Tutorials,Struggling,5,At Risk
30,72,74,4,Commercial,Male,YouTube,Motivated,4,Good
1,76,44,22,Arts,Male,YouTube,Stressed,6,Average
34,30,3,40,Commercial,Male,Tutorials,Struggling,5,Average
22,74,25,24,Arts,Female,Textbooks,Motivated,4,Average
16,67,26,40,Commercial,Male,Textbooks,Struggling,9,Average
25,97,45,9,Arts,Male,YouTube,Struggling,6,Average
7,3,63,21,Commercial,Male,Tutorials,Stressed,10,Average
28,18,90,18,Arts,Female,Mixed,Struggling,10,Average
25,69,50,0,Commercial,Female,YouTube,Stressed,10,At Risk
9,97,49,6,Arts,Female,Mixed,Motivated,3,Good
25,81,5,3,Science,Female,YouTube,Struggling,10,At Risk
33,12,58,0,Commercial,Female,YouTube,Motivated,6,At Risk
40,22,14,14,Arts,Female,Tutorials,Motivated,1,Average
6,82,29,39,Commercial,Female,Tutorials,Motivated,5,Average
3,74,41,11,Commercial,Male,Mixed,Struggling,10,At Risk
10,0,100,21,Arts,Male,Mixed,Stressed,6,Good
28,87,36,21,Commercial,Female,Textbooks,Struggling,8,Average
35,53,41,16,Arts,Male,Tutorials,Motivated,9,Average
24,70,100,28,Science,Male,YouTube,Stressed,3,Good
20,88,34,13,Commercial,Female,YouTube,Motivated,2,Average
35,84,86,19,Science,Male,Textbooks,Stressed,4,Excellent
9,14,5,32,Commercial,Male,Tutorials,Struggling,8,At Risk
36,64,67,14,Commercial,Female,YouTube,Stressed,8,Good
8,75,17,11,Commercial,Male,Textbooks,Struggling,3,Average
23,70,72,39,Arts,Female,Textbooks,Motivated,4,Good
34,14,28,19,Science,Female,YouTube,Stressed,3,At Risk
34,20,76,29,Commercial,Male,YouTube,Motivated,10,Average
35,18,58,37,Arts,Male,Mixed,Stressed,2,Excellent
17,59,46,2,Commercial,Male,Tutorials,Struggling,4,At Risk
38,92,16,27,Arts,Female,Mixed,Stressed,6,Average
31,88,95,25,Commercial,Female,Textbooks,Stressed,5,Excellent
23,32,21,29,Science,Female,YouTube,Struggling,3,Average
22,48,67,12,Science,Male,Mixed,Struggling,2,Good
31,95,68,12,Commercial,Male,Textbooks,Struggling,9,Average
36,34,36,1,Arts,Female,Tutorials,Stressed,1,Average
11,43,48,36,Commercial,Male,YouTube,Motivated,9,Average
12,89,12,37,Arts,Male,Mixed,Stressed,1,Average
22,10,33,1,Commercial,Female,Tutorials,Stressed,7,At Risk
24,98,85,35,Arts,Female,Mixed,Motivated,6,Excellent
34,71,52,25,Science,Male,Textbooks,Struggling,7,Good
40,77,86,10,Commercial,Female,Tutorials,Stressed,3,Excellent
29,73,50,7,Science,Male,Mixed,Motivated,3,Good
16,65,2,39,Science,Female,Tutorials,Struggling,1,Average
19,45,41,21,Commercial,Female,Textbooks,Struggling,4,Average
24,8,97,19,Commercial,Female,Tutorials,Stressed,2,Good
21,2,31,7,Arts,Male,Mixed,Struggling,10,At Risk
12,84,50,28,Arts,Male,Textbooks,Struggling,8,At Risk
18,25,84,39,Science,Female,YouTube,Motivated,3,Good
35,71,45,25,Arts,Female,Mixed,Motivated,7,Good
11,47,20,29,Arts,Female,Mixed,Struggling,7,At Risk
40,65,43,16,Commercial,Male,Textbooks,Motivated,9,Good
18,69,10,19,Arts,Female,Textbooks,Struggling,6,Good
11,27,67,15,Science,Female,YouTube,Stressed,1,Average
8,92,0,6,Arts,Female,Mixed,Motivated,8,At Risk
6,25,91,15,Science,Female,Textbooks,Struggling,1,Good
27,24,62,26,Commercial,Male,YouTube,Struggling,3,Good
13,11,23,22,Science,Male,YouTube,Motivated,5,At Risk
30,4,98,23,Arts,Female,Textbooks,Motivated,8,Good
18,97,12,8,Commercial,Male,Mixed,Stressed,9,At Risk
15,47,97,34,Arts,Male,Tutorials,Struggling,7,Average
4,36,10,19,Commercial,Male,Tutorials,Stressed,9,At Risk
34,78,99,36,Commercial,Female,YouTube,Stressed,3,Excellent
11,43,50,16,Arts,Male,Tutorials,Stressed,5,At Risk
24,99,16,30,Arts,Male,Tutorials,Motivated,10,Average
20,14,98,7,Commercial,Male,Textbooks,Stressed,8,Average
35,42,81,14,Commercial,Female,YouTube,Motivated,1,Good
22,47,85,30,Arts,Female,Mixed,Motivated,8,Average
15,86,23,29,Science,Male,YouTube,Stressed,7,Good
38,69,18,19,Arts,Male,Textbooks,Stressed,1,Good
38,45,36,38,Commercial,Female,Tutorials,Struggling,10,Excellent
13,42,84,11,Arts,Female,Mixed,Stressed,10,Average
30,20,7,16,Science,Male,YouTube,Struggling,6,Average
4,22,27,29,Arts,Male,Tutorials,Stressed,1,At Risk
34,79,4,28,Commercial,Female,YouTube,Stressed,2,Average
22,46,16,18,Arts,Female,Mixed,Stressed,5,At Risk
28,14,100,10,Commercial,Male,YouTube,Stressed,2,Average
10,24,35,33,Commercial,Female,YouTube,Struggling,10,At Risk
17,35,18,6,Arts,Male,YouTube,Struggling,1,Average
11,74,63,33,Commercial,Male,Tutorials,Stressed,6,Good
8,50,90,19,Commercial,Male,Mixed,Stressed,8,Average
9,14,97,37,Science,Female,Mixed,Struggling,8,At Risk
16,67,10,23,Science,Male,Tutorials,Motivated,8,At Risk
37,20,53,9,Science,Male,Tutorials,Motivated,6,Average
6,12,44,31,Science,Female,Tutorials,Motivated,3,At Risk
12,85,46,14,Commercial,Female,Textbooks,Struggling,1,Average
39,18,11,36,Arts,Male,YouTube,Struggling,2,Good
8,33,20,19,Commercial,Male,YouTube,Motivated,5,At Risk
26,77,10,2,Commercial,Female,Mixed,Motivated,10,At Risk
1,67,91,36,Commercial,Female,YouTube,Stressed,5,Good
4,51,4,39,Arts,Female,Textbooks,Struggling,10,At Risk
28,26,80,7,Science,Male,Tutorials,Struggling,1,Good
36,28,55,39,Commercial,Male,Mixed,Motivated,1,Good
37,27,19,22,Commercial,Male,Mixed,Motivated,9,At Risk
18,34,40,39,Science,Female,YouTube,Struggling,2,Average
7,7,45,10,Commercial,Male,Mixed,Stressed,7,Average
0,15,11,7,Arts,Female,Tutorials,Motivated,10,At Risk
21,35,69,28,Commercial,Male,Mixed,Struggling,4,Good
16,29,16,29,Commercial,Female,Tutorials,Struggling,7,Average
6,17,18,9,Science,Male,Textbooks,Stressed,8,At Risk
24,1,25,38,Commercial,Male,Textbooks,Stressed,5,Average
3,48,47,27,Commercial,Female,Tutorials,Motivated,1,Average
35,76,51,35,Arts,Female,YouTube,Motivated,4,Good
5,3,95,12,Science,Male,Mixed,Motivated,10,At Risk
30,89,69,31,Science,Female,YouTube,Struggling,3,Excellent
18,88,54,35,Arts,Female,Mixed,Motivated,10,Average
38,93,99,36,Commercial,Male,Textbooks,Struggling,5,Excellent
26,74,74,25,Science,Female,Textbooks,Motivated,10,Good
9,6,32,21,Science,Male,Textbooks,Stressed,10,At Risk
25,94,61,3,Commercial,Male,Mixed,Stressed,6,Average
18,73,87,30,Commercial,Female,Textbooks,Struggling,2,Excellent
38,38,22,17,Science,Female,Textbooks,Stressed,7,Good
2,12,14,37,Commercial,Male,Textbooks,Struggling,3,At Risk
12,30,26,23,Science,Male,Textbooks,Struggling,1,At Risk
27,70,74,22,Commercial,Male,YouTube,Stressed,10,Average
19,62,63,21,Commercial,Male,Textbooks,Struggling,3,Good
27,55,80,1,Arts,Male,Textbooks,Stressed,9,At Risk
7,41,50,30,Commercial,Male,YouTube,Motivated,10,At Risk
40,60,52,10,Arts,Female,YouTube,Motivated,6,Good
38,41,77,27,Commercial,Female,Mixed,Stressed,6,Good
0,55,90,31,Science,Female,Tutorials,Stressed,4,Average
2,35,81,4,Science,Male,Textbooks,Stressed,8,At Risk
12,83,91,37,Commercial,Female,Textbooks,Stressed,5,Excellent
27,67,50,9,Commercial,Male,Textbooks,Motivated,7,Average
24,6,46,39,Science,Male,Mixed,Struggling,9,Average
32,53,3,23,Commercial,Female,Textbooks,Struggling,5,Average
37,0,6,34,Arts,Male,Tutorials,Motivated,5,Good
5,43,34,22,Arts,Male,YouTube,Struggling,4,At Risk
31,44,47,16,Arts,Male,Mixed,Motivated,6,Good
20,46,72,0,Arts,Male,YouTube,Struggling,2,Average
15,12,71,30,Arts,Male,Textbooks,Stressed,3,Good
20,21,44,30,Commercial,Male,Textbooks,Stressed,1,Good
10,20,80,33,Commercial,Female,Textbooks,Stressed,2,At Risk
36,85,80,8,Arts,Male,Tutorials,Motivated,2,Excellent
35,91,96,21,Commercial,Male,Tutorials,Motivated,8,Excellent
34,8,95,12,Commercial,Male,Mixed,Struggling,8,Good
18,25,71,24,Arts,Male,YouTube,Struggling,2,Average
19,8,18,17,Commercial,Female,Textbooks,Struggling,6,At Risk
17,14,62,11,Commercial,Female,Textbooks,Motivated,5,Average
40,9,37,39,Commercial,Male,Textbooks,Struggling,3,Good
13,87,66,16,Arts,Male,Textbooks,Stressed,5,Good
14,41,58,14,Commercial,Male,Tutorials,Struggling,5,Average
30,71,68,14,Science,Female,YouTube,Stressed,5,Good
0,23,12,14,Science,Female,YouTube,Motivated,3,At Risk
2,79,46,38,Arts,Female,Mixed,Stressed,3,Average
15,48,60,12,Science,Female,Tutorials,Stressed,4,Average
22,25,30,16,Arts,Male,Textbooks,Stressed,7,At Risk
10,90,79,31,Science,Female,YouTube,Motivated,2,Good
11,36,95,8,Science,Female,YouTube,Motivated,10,At Risk
9,67,21,39,Science,Male,Tutorials,Motivated,4,Average
31,49,92,19,Arts,Male,Mixed,Motivated,4,Excellent
15,23,85,25,Arts,Female,Mixed,Struggling,1,Average
7,18,42,26,Commercial,Female,Textbooks,Motivated,10,At Risk
37,99,66,20,Arts,Female,Mixed,Stressed,8,Good
11,59,53,17,Science,Female,YouTube,Motivated,1,Good
23,38,9,12,Science,Male,Mixed,Struggling,8,At Risk
27,73,41,15,Arts,Male,Textbooks,Struggling,7,Average
7,88,63,8,Arts,Female,YouTube,Struggling,9,At Risk
27,17,20,11,Arts,Female,Mixed,Stressed,8,At Risk
35,18,79,37,Commercial,Female,Mixed,Motivated,5,Excellent
25,35,75,18,Science,Female,Tutorials,Motivated,8,Good
7,73,65,6,Commercial,Female,Textbooks,Motivated,10,At Risk
27,96,40,34,Commercial,Male,Mixed,Stressed,3,Good
27,54,23,17,Science,Male,Tutorials,Stressed,10,At Risk
36,68,34,15,Science,Male,YouTube,Struggling,7,Average
40,46,55,38,Arts,Female,Tutorials,Struggling,4,Good
35,48,29,3,Arts,Female,Tutorials,Motivated,5,At Risk
26,98,56,24,Commercial,Male,Mixed,Stressed,9,Good
16,97,93,31,Arts,Male,Mixed,Stressed,7,Excellent
8,32,46,39,Arts,Female,Mixed,Motivated,4,Average
32,20,34,12,Science,Male,Tutorials,Motivated,6,Average
19,80,18,16,Science,Female,YouTube,Struggling,10,At Risk
12,21,7,36,Arts,Female,Textbooks,Struggling,7,At Risk
27,47,25,5,Science,Male,Tutorials,Struggling,10,Average
28,36,70,18,Arts,Male,Mixed,Motivated,9,Average
12,14,29,12,Science,Male,Textbooks,Motivated,4,At Risk
34,34,6,25,Science,Female,YouTube,Struggling,10,At Risk
5,91,66,13,Science,Female,Textbooks,Struggling,3,Good
17,70,64,30,Science,Male,Mixed,Stressed,8,Average
4,31,35,3,Arts,Female,Tutorials,Stressed,1,At Risk
24,10,24,38,Commercial,Female,Tutorials,Struggling,9,Average
1,9,36,7,Science,Female,Mixed,Struggling,1,At Risk
9,72,0,24,Arts,Male,Tutorials,Stressed,2,At Risk
29,77,14,12,Arts,Female,Mixed,Struggling,8,At Risk
4,76,36,31,Science,Male,Tutorials,Stressed,9,At Risk
32,56,12,37,Commercial,Male,Tutorials,Stressed,7,Average
0,24,7,37,Science,Female,Tutorials,Stressed,3,At Risk
17,1,4,27,Arts,Male,YouTube,Motivated,7,At Risk
31,63,59,29,Commercial,Female,YouTube,Motivated,6,Average
10,34,72,2,Arts,Male,Mixed,Struggling,2,Average
20,6,0,27,Science,Male,YouTube,Stressed,3,At Risk
25,84,35,2,Commercial,Female,Mixed,Motivated,10,At Risk
24,17,34,33,Arts,Male,Textbooks,Struggling,10,At Risk
21,66,65,15,Arts,Male,Textbooks,Struggling,5,Good
26,41,62,21,Arts,Male,YouTube,Struggling,10,Good
12,38,22,31,Science,Female,Textbooks,Struggling,4,At Risk
32,40,8,37,Commercial,Female,Textbooks,Struggling,2,Good
33,74,33,7,Science,Male,Tutorials,Stressed,4,Average
40,23,45,7,Science,Male,Tutorials,Struggling,8,Average
34,59,77,5,Science,Male,Mixed,Stressed,5,Average
0,45,3,13,Commercial,Female,Textbooks,Motivated,5,At Risk
20,18,29,31,Science,Female,Mixed,Struggling,10,Average
5,67,94,34,Science,Male,Mixed,Motivated,3,Excellent
27,89,74,9,Science,Female,Textbooks,Stressed,8,Good
16,41,98,2,Science,Female,YouTube,Stressed,6,Average
4,31,71,11,Arts,Female,Textbooks,Motivated,2,At Risk
30,38,2,30,Science,Female,Tutorials,Struggling,2,Average
4,35,13,28,Arts,Male,Textbooks,Struggling,9,At Risk
37,100,59,4,Science,Female,YouTube,Motivated,7,Good
2,96,76,24,Commercial,Female,Mixed,Motivated,10,Good
22,35,44,40,Arts,Male,Mixed,Motivated,9,Average
36,2,95,30,Arts,Male,Tutorials,Struggling,6,Excellent
36,72,33,20,Arts,Female,Tutorials,Struggling,5,Good
9,7,44,19,Arts,Female,Tutorials,Struggling,1,At Risk
9,96,60,38,Commercial,Male,Mixed,Motivated,6,Good
18,69,82,21,Science,Male,Tutorials,Struggling,6,Average
16,40,15,3,Arts,Male,Textbooks,Stressed,3,At Risk
20,67,65,12,Commercial,Female,Mixed,Motivated,3,Average
13,12,39,19,Arts,Female,YouTube,Struggling,3,At Risk
8,48,16,12,Science,Male,Mixed,Motivated,3,Average
0,59,33,16,Arts,Female,Textbooks,Stressed,7,At Risk
12,1,15,35,Commercial,Male,Textbooks,Stressed,10,At Risk
3,59,59,32,Science,Female,Tutorials,Motivated,2,Good
0,4,65,0,Commercial,Male,Mixed,Motivated,10,At Risk
39,43,65,14,Science,Male,Mixed,Stressed,10,Good
31,26,89,12,Science,Female,Mixed,Motivated,2,Good
33,31,12,16,Science,Female,YouTube,Stressed,3,Good
27,20,55,23,Arts,Female,Tutorials,Stressed,10,Average
30,7,30,7,Commercial,Female,Textbooks,Struggling,7,At Risk
7,71,33,26,Commercial,Female,Textbooks,Motivated,3,At Risk
38,49,38,22,Commercial,Female,Tutorials,Motivated,7,Average
25,66,66,7,Science,Male,Textbooks,Struggling,9,Average
33,43,7,7,Arts,Female,Textbooks,Stressed,10,At Risk
2,57,86,25,Science,Male,Tutorials,Motivated,4,Good
11,2,77,12,Commercial,Male,Textbooks,Struggling,7,At Risk
0,85,54,38,Arts,Female,Mixed,Struggling,9,Average
4,69,26,36,Arts,Male,YouTube,Motivated,8,At Risk
29,1,92,27,Arts,Male,Tutorials,Struggling,8,Good
29,86,52,24,Commercial,Female,YouTube,Stressed,9,Average
16,43,38,15,Arts,Female,Textbooks,Struggling,5,At Risk
22,1,64,1,Arts,Female,Textbooks,Stressed,5,At Risk
14,80,16,17,Science,Male,Mixed,Stressed,3,Average
36,34,29,16,Science,Female,Tutorials,Motivated,5,At Risk
20,97,52,29,Arts,Female,Textbooks,Struggling,8,Average
13,86,12,38,Arts,Female,Tutorials,Stressed,5,At Risk
1,29,20,12,Science,Female,Tutorials,Stressed,4,At Risk
10,7,18,31,Science,Male,Tutorials,Struggling,8,At Risk
38,21,52,28,Science,Female,Tutorials,Stressed,7,Good
37,43,18,29,Commercial,Male,Tutorials,Struggling,6,Good
33,57,56,17,Commercial,Female,YouTube,Motivated,5,Good
37,35,24,12,Science,Male,Mixed,Stressed,5,Average
33,68,85,20,Arts,Male,Tutorials,Stressed,10,Good
17,76,30,29,Science,Male,YouTube,Struggling,2,Good
29,92,80,20,Commercial,Female,Textbooks,Struggling,4,Average
14,30,54,16,Arts,Male,Tutorials,Struggling,8,At Risk
26,46,22,39,Commercial,Female,Textbooks,Struggling,8,Average
33,54,31,18,Arts,Female,Tutorials,Stressed,1,Good
37,79,61,14,Commercial,Female,YouTube,Motivated,2,Excellent
32,61,73,8,Arts,Female,YouTube,Motivated,5,Excellent
23,29,9,9,Arts,Female,YouTube,Motivated,9,At Risk
14,54,99,30,Arts,Male,Mixed,Motivated,10,Good
29,15,71,22,Arts,Female,Textbooks,Struggling,7,Good
16,11,53,29,Commercial,Male,Mixed,Stressed,10,At Risk
4,16,51,32,Commercial,Male,Tutorials,Stressed,5,At Risk
28,15,19,8,Arts,Male,Textbooks,Stressed,1,At Risk
3,11,31,0,Arts,Male,YouTube,Struggling,6,At Risk
9,7,13,34,Commercial,Male,Textbooks,Stressed,8,At Risk
16,83,49,10,Arts,Male,YouTube,Struggling,7,Average
9,2,27,33,Arts,Male,Mixed,Stressed,2,At Risk
16,15,52,15,Arts,Female,Mixed,Motivated,5,At Risk
19,29,23,8,Science,Male,YouTube,Struggling,4,At Risk
23,22,78,31,Arts,Female,YouTube,Stressed,9,Average
4,91,21,14,Science,Male,Tutorials,Motivated,10,At Risk
33,4,29,11,Arts,Male,Mixed,Motivated,1,Good
5,83,62,32,Commercial,Male,Mixed,Motivated,6,Good
1,64,3,13,Science,Male,Tutorials,Struggling,3,At Risk
12,29,76,7,Science,Female,Mixed,Struggling,9,Average
10,20,58,7,Arts,Female,YouTube,Stressed,5,At Risk
22,83,86,26,Arts,Female,Textbooks,Motivated,6,Average
15,69,7,11,Science,Male,Textbooks,Stressed,9,At Risk
30,21,81,0,Commercial,Male,Mixed,Stressed,9,Average
10,81,11,39,Commercial,Male,Tutorials,Motivated,8,Average
15,71,30,10,Arts,Female,YouTube,Stressed,9,Average
7,31,77,38,Commercial,Male,Textbooks,Struggling,4,Average
3,32,33,30,Commercial,Female,YouTube,Stressed,6,At Risk
39,15,81,16,Arts,Female,Mixed,Motivated,5,Average
3,75,97,32,Commercial,Male,Mixed,Struggling,5,Good
24,37,74,31,Arts,Male,Textbooks,Struggling,4,Good
2,97,75,28,Science,Female,Mixed,Stressed,2,Good
31,13,48,20,Arts,Female,Tutorials,Stressed,6,Average
2,35,78,20,Science,Female,Mixed,Struggling,9,At Risk
26,96,56,39,Science,Male,Mixed,Stressed,1,Good
28,22,94,22,Commercial,Male,Mixed,Motivated,7,Good
31,65,92,5,Commercial,Male,YouTube,Stressed,6,Good
18,84,25,21,Commercial,Male,YouTube,Stressed,3,Good
20,1,17,37,Arts,Male,Textbooks,Struggling,1,Average
4,90,95,36,Commercial,Male,Textbooks,Stressed,4,Good
17,72,85,7,Science,Female,Textbooks,Stressed,9,Average
27,64,37,40,Commercial,Female,Mixed,Stressed,2,Good
21,74,80,34,Commercial,Female,YouTube,Motivated,3,Excellent
20,66,86,10,Arts,Male,Tutorials,Stressed,2,Good
5,51,87,23,Arts,Female,Mixed,Motivated,2,Good
0,61,49,20,Science,Male,Mixed,Motivated,10,Average
4,22,7,1,Arts,Male,Mixed,Motivated,8,At Risk
40,25,40,39,Commercial,Female,Tutorials,Motivated,3,Good
11,67,5,18,Arts,Male,Textbooks,Struggling,7,At Risk
25,81,68,38,Science,Female,Tutorials,Motivated,8,Average
33,54,43,27,Commercial,Female,Textbooks,Stressed,3,Good
13,5,63,16,Science,Male,Tutorials,Motivated,2,Average
25,34,28,5,Arts,Female,YouTube,Stressed,8,At Risk
26,21,27,18,Arts,Female,Mixed,Motivated,3,At Risk
8,42,10,37,Science,Female,Mixed,Struggling,7,Average
25,14,64,27,Commercial,Female,Mixed,Motivated,1,Average
21,85,18,1,Arts,Male,Textbooks,Motivated,6,At Risk
29,59,8,37,Arts,Female,Tutorials,Struggling,9,At Risk
16,100,26,36,Commercial,Female,YouTube,Motivated,3,Average
25,11,33,3,Arts,Female,Tutorials,Stressed,7,Average
35,48,43,21,Science,Male,Mixed,Motivated,6,Good
0,41,67,25,Arts,Female,YouTube,Motivated,8,Average
7,37,99,35,Arts,Male,YouTube,Motivated,3,Good
34,81,81,12,Commercial,Female,Mixed,Struggling,3,Good
14,44,14,31,Science,Female,Tutorials,Motivated,4,At Risk
21,34,50,16,Commercial,Female,Mixed,Motivated,3,Good
13,29,12,40,Arts,Male,Tutorials,Stressed,9,At Risk
25,87,82,35,Arts,Male,YouTube,Motivated,4,Good
27,29,48,18,Commercial,Male,YouTube,Motivated,6,Average
22,77,69,34,Commercial,Male,Mixed,Motivated,8,Good
13,5,55,39,Commercial,Male,YouTube,Motivated,8,Average
23,66,75,27,Science,Male,Textbooks,Stressed,5,Good
1,79,50,0,Arts,Female,YouTube,Stressed,5,At Risk
25,6,36,17,Commercial,Male,Textbooks,Struggling,6,At Risk
13,51,16,39,Arts,Female,YouTube,Motivated,10,Average
6,13,57,32,Science,Male,Mixed,Struggling,7,Average
2,72,86,11,Science,Male,Mixed,Struggling,10,Average
22,14,89,7,Science,Male,Textbooks,Motivated,7,Average
17,20,28,23,Science,Female,Mixed,Stressed,4,At Risk
37,34,32,15,Arts,Male,YouTube,Stressed,6,Average
34,65,59,3,Science,Male,YouTube,Motivated,7,Good
14,90,90,37,Science,Female,Mixed,Motivated,5,Excellent
24,1,88,26,Commercial,Female,YouTube,Stressed,5,Good
36,34,54,8,Science,Female,Tutorials,Motivated,2,Excellent
27,81,9,15,Commercial,Female,Tutorials,Motivated,7,Average
9,77,46,11,Science,Male,YouTube,Motivated,6,At Risk
38,19,22,30,Science,Female,Mixed,Stressed,1,Excellent
16,81,84,23,Commercial,Male,Textbooks,Struggling,4,Average
38,9,20,13,Science,Male,Mixed,Struggling,3,Average
21,24,12,24,Arts,Female,Textbooks,Motivated,3,At Risk
25,65,100,33,Arts,Male,Mixed,Stressed,7,Excellent
24,24,32,2,Science,Female,YouTube,Motivated,10,At Risk
16,53,23,23,Arts,Male,Tutorials,Stressed,4,Average
12,32,10,8,Commercial,Female,Mixed,Motivated,8,At Risk
19,35,16,25,Science,Female,Textbooks,Stressed,9,At Risk
24,94,67,19,Science,Female,Tutorials,Stressed,3,Excellent
3,13,46,39,Commercial,Female,Textbooks,Struggling,5,At Risk
9,64,24,9,Commercial,Female,YouTube,Motivated,4,At Risk
2,79,93,18,Commercial,Female,Tutorials,Struggling,10,Average
40,53,72,2,Science,Male,Textbooks,Struggling,6,Average
17,51,20,23,Commercial,Male,Mixed,Stressed,10,At Risk
35,2,83,4,Commercial,Male,YouTube,Motivated,4,Good
21,98,82,2,Arts,Female,YouTube,Stressed,8,Average
33,40,82,26,Arts,Male,YouTube,Stressed,3,Good
7,5,11,15,Science,Female,Mixed,Stressed,5,At Risk
39,24,36,14,Arts,Male,Mixed,Motivated,1,Good
18,12,41,34,Arts,Male,Tutorials,Motivated,6,Average
40,97,16,11,Commercial,Female,Mixed,Stressed,5,Average
36,7,100,40,Commercial,Male,Tutorials,Motivated,8,Good
5,20,47,25,Arts,Male,YouTube,Stressed,9,Average
25,97,27,33,Arts,Male,Tutorials,Motivated,8,Average
33,67,40,22,Arts,Female,Textbooks,Motivated,8,Average
5,24,98,30,Science,Male,YouTube,Struggling,3,Good
36,78,46,19,Science,Female,YouTube,Stressed,4,Good
32,67,17,11,Science,Male,Tutorials,Struggling,4,Average
21,44,77,22,Arts,Male,YouTube,Struggling,5,Excellent
20,59,98,3,Arts,Male,Mixed,Stressed,9,Average
5,11,70,22,Science,Male,Textbooks,Stressed,9,At Risk
5,31,12,0,Science,Female,Tutorials,Motivated,10,At Risk
3,95,81,24,Arts,Male,Tutorials,Stressed,1,Good
29,91,100,1,Commercial,Female,YouTube,Struggling,8,Excellent
10,12,12,29,Science,Female,Mixed,Struggling,1,At Risk
29,30,99,2,Arts,Male,YouTube,Stressed,2,Good
30,77,30,20,Arts,Male,YouTube,Struggling,7,Average
23,19,1,24,Commercial,Female,Tutorials,Motivated,8,At Risk
8,17,15,19,Arts,Female,YouTube,Struggling,1,Average
2,92,8,21,Arts,Male,Textbooks,Motivated,3,At Risk
30,59,72,20,Science,Male,YouTube,Struggling,7,Good
39,62,37,32,Science,Male,YouTube,Motivated,9,Good
36,5,74,37,Commercial,Male,Tutorials,Motivated,8,Good
35,31,53,14,Commercial,Male,YouTube,Stressed,8,Average
23,92,55,14,Arts,Female,Mixed,Motivated,9,Average
30,42,85,24,Science,Male,Tutorials,Stressed,10,Excellent
5,1,96,20,Commercial,Male,YouTube,Struggling,3,Average
1,59,99,23,Commercial,Female,Textbooks,Struggling,8,At Risk
19,22,86,4,Commercial,Male,Textbooks,Struggling,1,Good
27,82,44,5,Arts,Male,Tutorials,Motivated,8,Average
10,30,33,22,Science,Female,Tutorials,Struggling,7,At Risk
3,4,8,3,Commercial,Male,YouTube,Struggling,8,At Risk
14,82,87,26,Science,Female,Mixed,Stressed,1,Excellent
5,33,7,17,Commercial,Male,YouTube,Stressed,6,At Risk
29,9,6,20,Commercial,Male,Textbooks,Struggling,7,At Risk
37,88,35,27,Science,Male,Mixed,Struggling,5,Average
1,1,17,34,Science,Female,Mixed,Motivated,5,At Risk
14,10,2,21,Science,Female,Mixed,Motivated,7,At Risk
10,49,27,39,Arts,Female,YouTube,Struggling,3,At Risk
7,30,69,22,Commercial,Female,Textbooks,Stressed,6,At Risk
25,55,43,2,Arts,Male,Tutorials,Struggling,7,At Risk
4,78,20,39,Science,Female,YouTube,Motivated,1,At Risk
5,72,27,9,Commercial,Female,Tutorials,Stressed,2,At Risk
25,86,53,24,Arts,Female,Mixed,Stressed,4,Excellent
3,82,53,7,Commercial,Male,Mixed,Motivated,8,At Risk
18,8,64,10,Arts,Male,YouTube,Struggling,10,At Risk
19,98,99,4,Science,Female,Textbooks,Struggling,6,Good
32,20,20,36,Arts,Female,Mixed,Struggling,1,Average
19,72,98,37,Commercial,Male,Tutorials,Motivated,10,Average
11,27,12,28,Commercial,Female,Tutorials,Stressed,5,At Risk
0,61,56,4,Commercial,Female,YouTube,Motivated,7,At Risk
25,6,48,8,Commercial,Female,Tutorials,Struggling,6,Average
13,79,53,1,Science,Female,Textbooks,Motivated,9,Average
37,15,9,0,Arts,Male,Mixed,Stressed,8,Average
36,96,52,39,Science,Male,Tutorials,Motivated,4,Good
10,3,43,29,Science,Male,Tutorials,Struggling,5,At Risk
35,3,46,10,Science,Female,Mixed,Stressed,7,Average
12,39,52,27,Commercial,Female,YouTube,Motivated,8,Average
2,16,73,11,Commercial,Male,Tutorials,Motivated,5,Average
32,100,45,38,Commercial,Male,YouTube,Stressed,9,Excellent
5,51,12,25,Arts,Male,YouTube,Stressed,10,At Risk
9,92,36,12,Commercial,Female,Tutorials,Struggling,4,Average
4,51,23,7,Arts,Male,Textbooks,Stressed,4,At Risk
22,35,1,27,Commercial,Female,YouTube,Struggling,8,At Risk
9,37,85,29,Commercial,Female,Tutorials,Motivated,1,Good
1,49,80,8,Science,Male,YouTube,Struggling,8,At Risk
12,62,99,38,Science,Male,Mixed,Motivated,5,Good
39,100,13,30,Science,Female,Textbooks,Stressed,1,Good
1,62,9,20,Arts,Male,Textbooks,Motivated,4,At Risk
